epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
103,6480.95,1.00035,0.70301,1.11827,0.95289,0.89424,0.94301,0.69185,nan,nan,nan,0.0006536,0.0006536,0.0006536
104,6589.67,0.98002,0.67066,1.11471,0.95767,0.88814,0.94139,0.69434,nan,nan,nan,0.0006404,0.0006404,0.0006404
105,6698.42,0.98757,0.68192,1.10894,0.95664,0.89755,0.94301,0.69438,nan,nan,nan,0.0006272,0.0006272,0.0006272
106,6807.16,0.98614,0.67298,1.10049,0.95941,0.8975,0.94458,0.69484,nan,nan,nan,0.000614,0.000614,0.000614
107,6916.18,0.96623,0.65254,1.09056,0.9668,0.88542,0.9426,0.6991,nan,nan,nan,0.0006008,0.0006008,0.0006008
108,7025.27,0.96162,0.66326,1.09726,0.96142,0.90441,0.94571,0.70404,nan,nan,nan,0.0005876,0.0005876,0.0005876
109,7134.42,0.96029,0.6628,1.10247,0.96791,0.89627,0.94729,0.702,nan,nan,nan,0.0005744,0.0005744,0.0005744
110,7243.38,0.94767,0.64626,1.09177,0.96594,0.90034,0.94951,0.70346,nan,nan,nan,0.0005612,0.0005612,0.0005612
111,7351.94,0.93333,0.61994,1.08047,0.95949,0.90305,0.94801,0.70612,nan,nan,nan,0.000548,0.000548,0.000548
112,7460.9,0.9416,0.64295,1.08374,0.96382,0.90301,0.94652,0.71277,nan,nan,nan,0.0005348,0.0005348,0.0005348
113,7570.24,0.92433,0.6391,1.06913,0.96655,0.90111,0.94846,0.70681,nan,nan,nan,0.0005216,0.0005216,0.0005216
114,7679.22,0.92874,0.63519,1.07901,0.96908,0.90169,0.94735,0.71449,nan,nan,nan,0.0005084,0.0005084,0.0005084
115,7788.46,0.93169,0.63542,1.06932,0.97405,0.91186,0.9493,0.71739,nan,nan,nan,0.0004952,0.0004952,0.0004952
116,7897.87,0.90406,0.61405,1.07305,0.97062,0.8958,0.95039,0.71824,nan,nan,nan,0.000482,0.000482,0.000482
117,8007.06,0.89986,0.63298,1.07944,0.96802,0.90307,0.95229,0.7207,nan,nan,nan,0.0004688,0.0004688,0.0004688
118,8116.08,0.88191,0.60838,1.06279,0.97346,0.89524,0.95011,0.72049,nan,nan,nan,0.0004556,0.0004556,0.0004556
119,8225.01,0.89835,0.60884,1.067,0.9773,0.90478,0.9541,0.72143,nan,nan,nan,0.0004424,0.0004424,0.0004424
120,8334.05,0.87288,0.58952,1.04671,0.97308,0.90678,0.95449,0.72841,nan,nan,nan,0.0004292,0.0004292,0.0004292
121,8443.1,0.86328,0.58819,1.0481,0.96905,0.90915,0.95299,0.72379,nan,nan,nan,0.000416,0.000416,0.000416
122,8551.76,0.87973,0.61258,1.05769,0.96416,0.91201,0.95237,0.72725,nan,nan,nan,0.0004028,0.0004028,0.0004028
123,8660.72,0.86276,0.60729,1.04607,0.97436,0.90164,0.95301,0.72809,nan,nan,nan,0.0003896,0.0003896,0.0003896
124,8769.8,0.84134,0.57643,1.0368,0.97284,0.90847,0.95507,0.73136,nan,nan,nan,0.0003764,0.0003764,0.0003764
125,8879,0.84828,0.59721,1.03736,0.96837,0.91316,0.95328,0.72727,nan,nan,nan,0.0003632,0.0003632,0.0003632
126,8988.01,0.83401,0.5601,1.02586,0.97058,0.90644,0.95575,0.72777,nan,nan,nan,0.00035,0.00035,0.00035
127,9096.9,0.85637,0.58344,1.0411,0.96431,0.91593,0.95543,0.73494,nan,nan,nan,0.0003368,0.0003368,0.0003368
128,9205.8,0.84227,0.57975,1.04227,0.97374,0.90515,0.95327,0.74017,nan,nan,nan,0.0003236,0.0003236,0.0003236
129,9314.99,0.85076,0.58829,1.04122,0.97481,0.91051,0.95541,0.73539,nan,nan,nan,0.0003104,0.0003104,0.0003104
130,9423.89,0.83692,0.59785,1.03906,0.9752,0.90658,0.95324,0.73305,nan,nan,nan,0.0002972,0.0002972,0.0002972
131,9532.86,0.833,0.56845,1.028,0.97941,0.90312,0.95458,0.74157,nan,nan,nan,0.000284,0.000284,0.000284
132,9641.73,0.81793,0.55599,1.02546,0.96924,0.9139,0.95482,0.74131,nan,nan,nan,0.0002708,0.0002708,0.0002708
133,9750.58,0.81166,0.55944,1.01394,0.97114,0.91269,0.95617,0.74386,nan,nan,nan,0.0002576,0.0002576,0.0002576
134,9859.66,0.81613,0.56355,1.03282,0.97689,0.91119,0.95656,0.74499,nan,nan,nan,0.0002444,0.0002444,0.0002444
135,9968.87,0.80119,0.55643,1.01739,0.98343,0.90712,0.95507,0.74235,nan,nan,nan,0.0002312,0.0002312,0.0002312
136,10077.6,0.80978,0.56627,1.0291,0.97248,0.91038,0.95518,0.75164,nan,nan,nan,0.000218,0.000218,0.000218
137,10186.9,0.78782,0.55174,1.01052,0.97118,0.90576,0.95535,0.74715,nan,nan,nan,0.0002048,0.0002048,0.0002048
138,10295.3,0.78791,0.55941,1.00802,0.97449,0.90658,0.95512,0.74954,nan,nan,nan,0.0001916,0.0001916,0.0001916
139,10404,0.77064,0.53316,1.00775,0.97154,0.91119,0.95584,0.75036,nan,nan,nan,0.0001784,0.0001784,0.0001784
